names,length,width,height,noseLength,radius,tailLength,endRadius,dragForce,dragCoeff,refArea
uuv_0000,2379.9176324137497,921.6726953401558,641.8334961138423,3057.6995894068305,204.1012882581546,2023.2632877236488,67.47674733082803,9.8391817,0.1532029,8.40295178e-02
uuv_0001,2268.184697030487,1370.413887241277,781.0330953584955,2545.226452951054,377.72605768601284,1183.1474544241355,28.704607078729058,40.048639,0.094285395,5.55754807e-01
uuv_0002,1692.0002419467778,1039.5386767632426,1333.4014475557738,1796.5535140089078,466.03506061227154,1925.5361904093288,36.8193795752443,45.874279,0.063335432,9.47681498e-01
uuv_0003,1152.116361814378,1689.0080283577752,1426.8200684691813,1583.0442682935245,317.78991228642377,2192.5740866611623,19.518093463384155,13.370305,0.014585276,1.19940695e+00
uuv_0004,2132.8037053603502,471.3033966877646,787.5311536819535,1088.4609489226998,226.18572831253468,1173.1238800967776,29.04334062708657,34.418636,0.01938518,2.32307757e+00
uuv_0005,3554.488295156101,832.3861282697209,1078.1089668459258,3109.3269116909228,278.13675886726514,1109.1545020623166,52.306785579094836,21.586273,0.086323622,3.27180869e-01
uuv_0006,1736.5282955398593,1759.9848868060085,578.9209335159001,3293.0878528472795,271.22648552054824,2351.452402877835,45.17218767716401,53.08896,0.083598391,8.30895090e-01
uuv_0007,2636.473102925887,1772.9859593137128,525.2945453072819,3679.332154073496,209.90222036001117,3599.0125211778827,44.365019453575364,59.186959,0.081033082,9.55660334e-01
uuv_0008,1476.3100197547408,765.9074419083822,1207.8755523432285,3937.12620066898,363.80284766047293,1658.7782684628264,33.796742595429286,76.063637,0.11139245,8.93431377e-01
uuv_0009,3871.991327559477,1340.1492988591722,1930.5638489220287,2399.342931132309,342.52597968393326,3665.9100924622676,15.738057334063578,41.003625,0.066124543,8.11333594e-01
uuv_0010,2960.7069283949204,1940.612556080142,1396.0511792025422,1902.9240605744546,581.4731067166031,1269.188619109667,38.43565863271124,83.466582,0.043921192,2.48644239e+00
uuv_0011,2363.6928211227078,1408.2531366061949,1859.3883965534783,1809.0700550235351,497.3959446397092,2698.9634155437734,45.027664768446485,28.40472,0.015366637,2.41853054e+00
uuv_0012,2549.067883184878,1884.8309440334624,989.7320210179156,2275.625968284631,336.68261575969296,2830.209611504459,53.83061005476783,24.55478,0.013354019,2.40582462e+00
uuv_0013,1130.7400907982549,681.4449669875465,1876.276357552427,2012.1739289980558,204.59708838143962,2086.780394425442,10.975607520520763,63.879068,0.047273653,1.76798797e+00
uuv_0014,3955.066023906276,1957.4801155256723,1200.494293159067,2662.660794818419,480.88161542685424,1554.9557628044788,67.45998574638895,56.472836,0.059462571,1.24261275e+00
uuv_0015,3703.4499587269247,1706.4056291534062,1215.1811047292376,3677.501225816369,340.2936342838537,3070.2615927277598,46.348628826262356,24.50737,0.014906114,2.15115725e+00
uuv_0016,2299.733768226815,1353.4334493382753,1122.734550965677,1172.3052484807597,545.6786522326302,2399.685743514546,54.730497419818484,71.694871,0.047520951,1.97398049e+00
